index,type,name,duartion,genre,rating,raters,episodeTitles,seasonNumbers
1,movie,El Lobo de Wallstreet,123,Action,4.000000,1246
2,movie,Mi Villano Favorito,63,Comedy,2.000000,6632
3,movie,Lluvia de Hamburguesas,90,Action,4.000000,14937
4,movie,Jurassic Park,147,Action,4.000000,32234
5,movie,Intensamente,92,Kids,3.700000,23523
6,movie,Transformers,127,Action,4.000000,457457
7,movie,Space Jam,90,Comedy,2.000000,141
8,movie,Turning Red,85,Comedy,4.500000,35235
9,movie,The Parent Trap,105,Comedy,2.999954,43464
10,series,Breaking Bad,25,asdfghjk,4.497865,2343,Cap1,1
11,series,Breaking Bad,32,asdfghjk,3.491417,233,Cap2,1
12,series,Breaking Bad,45,Action,2.500805,4344,Cap1,2
13,series,Breaking Bad,63,Action,4.299847,23543,Cap1,3
14,movie,The Beach,95,Mistery,2.499980,25255
