index,type,name,duartion,genre,rating,raters,episodeTitles,seasonNumbers
1,movie,El Lobo de Wallstreet,123,Action,4.000000,1246
2,movie,Mi Villano Favorito,63,Comedy,2.000000,6632
3,movie,Lluvia de Hamburguesas,90,Action,4.000000,14937
4,movie,Jurassic Park,147,Action,4.000000,32234
5,movie,Intensamente,92,Kids,3.700000,23523
6,movie,Transformers,127,Action,4.000000,457457
7,movie,Space Jam,90,Comedy,2.000000,141
8,movie,Turning Red,85,Comedy,4.500000,35235
9,movie,The Parent Trap,105,Comedy,3.000000,43463
10,movie,The Beach,95,Mistery,2.500000,25254
11,series,Breaking Bad,25;32;45;63,Action,4.500000;3.500000;2.500000;4.300000,2341;231;4341;23541,Breaking Bad;Breaking Bad;Breaking Bad;Breaking Bad,1;2;3;4
